mappedGenes,riskAllele,traitName,pValue,orValue,ChemicalName,Interaction,InteractionActions
ADAMTS20,rs7295246-G,Alzheimer's disease (late onset),3e-7,1.07,mercuric bromide,mercuric bromide results in decreased expression of ADAMTS20 mRNA,decreases^expression
ADAMTS20,rs7295246-G,Alzheimer's disease (late onset),3e-7,1.07,methylmercuric chloride,methylmercuric chloride results in decreased expression of ADAMTS20 mRNA,decreases^expression
ADCY10P1,rs116748189-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",2e-6,0.5923841,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of ADCY10P1 mRNA",affects^cotreatment|decreases^expression
ADCY10P1,rs116748189-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",2e-6,0.5923841,methylmercuric chloride,methylmercuric chloride results in decreased expression of ADCY10P1 mRNA,decreases^expression
AGAP1,rs12465126-A,Alzheimer's disease,2e-6,1.6,Lead,Lead affects the expression of AGAP1 mRNA,affects^expression
AGAP1,rs12465126-A,Alzheimer's disease,2e-6,1.6,methylmercuric chloride,methylmercuric chloride results in increased expression of AGAP1 mRNA,increases^expression
AGT,rs1977412-C,Alzheimer's disease with memory domain impairment,6e-7,1.5625,Lead,AGT protein binds to Lead,affects^binding
AHNAK,rs11828907-C,Alzheimer's disease (late onset),2e-7,4.4935546,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of AHNAK mRNA",affects^cotreatment|increases^expression
AKAP6,rs2891226-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",6e-6,1.2104595,Lead,Lead affects the expression of AKAP6 mRNA,affects^expression
AKR1C3,rs140153888-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,1.2804352,Mercuric Chloride,Mercuric Chloride results in increased expression of AKR1C3 mRNA,increases^expression
AKR1C3,rs140153888-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,1.2804352,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of AKR1C3 mRNA",affects^cotreatment|increases^expression
AKR1C3,rs140153888-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,1.2804352,lead acetate,lead acetate results in increased expression of AKR1C3 mRNA,increases^expression
AKR1C3,rs140153888-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,1.2804352,mercuric bromide,mercuric bromide results in increased expression of AKR1C3 mRNA,increases^expression
AKR1C3,rs140153888-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,1.2804352,methylmercuric chloride,methylmercuric chloride results in increased expression of AKR1C3 mRNA,increases^expression
ALCAM,rs2633682-?,Alzheimer's disease,9e-7,0.78,Lead,Lead affects the splicing of ALCAM mRNA,affects^splicing
ALCAM,rs2633682-?,Alzheimer's disease,9e-7,0.78,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ALCAM mRNA",affects^cotreatment|increases^expression
ALCAM,rs2633682-?,Alzheimer's disease,9e-7,0.78,mercuric bromide,mercuric bromide results in increased expression of ALCAM mRNA,increases^expression
ALCAM,rs2633682-?,Alzheimer's disease,9e-7,0.78,methylmercuric chloride,methylmercuric chloride results in decreased expression of ALCAM mRNA,decreases^expression
ANGPT2,rs2442629-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,0.8692713,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ANGPT2 mRNA",affects^cotreatment|increases^expression
ANGPT2,rs2442629-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,0.8692713,methylmercuric chloride,methylmercuric chloride results in increased expression of ANGPT2 mRNA,increases^expression
ANK1,rs72640376-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",1e-5,0.70878714,Lead,Lead affects the expression of ANK1 mRNA,affects^expression
ANK1,rs72640376-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",1e-5,0.70878714,Mercury,Mercury results in decreased expression of ANK1 mRNA,decreases^expression
ANK1,rs72640376-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",1e-5,0.70878714,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ANK1 mRNA",affects^cotreatment|increases^expression
ANK1,rs72640376-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",1e-5,0.70878714,mercuric bromide,mercuric bromide results in increased expression of ANK1 mRNA,increases^expression
ANK3,rs7068231-T,Alzheimer's disease,3e-13,0.95,Lead,Lead affects the splicing of ANK3 mRNA,affects^splicing
ANK3,rs7068231-T,Alzheimer's disease,3e-13,0.95,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ANK3 mRNA",affects^cotreatment|increases^expression
ANK3,rs7068231-T,Alzheimer's disease,3e-13,0.95,methylmercuric chloride,methylmercuric chloride results in decreased expression of ANK3 mRNA,decreases^expression
ANO1,rs151107956-?,Alzheimer's disease in non-APOE e4 carriers,4e-6,2.976,Lead,Lead affects the methylation of ANO1 gene,affects^methylation
ANTXR1,rs7561207-?,Alzheimer's disease,4e-6,2.1267998,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ANTXR1 mRNA",affects^cotreatment|increases^expression
ANTXR1,rs7561207-?,Alzheimer's disease,4e-6,2.1267998,mercuric bromide,mercuric bromide results in increased expression of ANTXR1 mRNA,increases^expression
ANTXR1,rs7561207-?,Alzheimer's disease,4e-6,2.1267998,methylmercuric chloride,methylmercuric chloride results in increased expression of ANTXR1 mRNA,increases^expression
ANXA10,rs185148823-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",8e-6,1.9380842,lead acetate,lead acetate results in increased expression of ANXA10 mRNA,increases^expression
ANXA2,rs28576649-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,1.2500706,Lead,ANXA2 protein binds to Lead,affects^binding
ANXA2,rs28576649-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,1.2500706,Mercury,Mercury results in increased expression of ANXA2 mRNA,increases^expression
ANXA2,rs28576649-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,1.2500706,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ANXA2 mRNA",affects^cotreatment|increases^expression
ANXA2,rs28576649-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,1.2500706,mercuric bromide,mercuric bromide results in increased expression of ANXA2 mRNA,increases^expression
ANXA2,rs28576649-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,1.2500706,methylmercuric chloride,methylmercuric chloride results in increased expression of ANXA2 mRNA,increases^expression
AOPEP,rs186316953-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 carriers",3e-6,1.5782237,methylmercuric chloride,methylmercuric chloride results in decreased expression of AOPEP mRNA,decreases^expression
AP2A2,rs10751667-T,Alzheimer's disease (late onset),6e-7,1.0753,Mercury,Mercury results in decreased expression of AP2A2 mRNA,decreases^expression
APOC1,rs4420638-?,Alzheimer's disease,8e-149,3.45,methylmercuric chloride,methylmercuric chloride results in decreased expression of APOC1 mRNA,decreases^expression
APOC4,rs141441332-A,Alzheimer's disease (onset between ages 58 and 79),1e-11,2.57,methylmercuric chloride,methylmercuric chloride results in increased expression of APOC4 mRNA,increases^expression
APOE,rs429358-?,Alzheimer's disease,2e-303,3.21,Lead,Lead affects the expression of APOE protein,affects^expression
APOE,rs429358-?,Alzheimer's disease,2e-303,3.21,Mercury,APOE gene polymorphism affects the susceptibility to Mercury,affects^response to substance
APOE,rs429358-?,Alzheimer's disease,2e-303,3.21,methylmercuric chloride,methylmercuric chloride results in decreased expression of APOE mRNA,decreases^expression
APP,rs2154481-C,Alzheimer's disease,1e-12,0.95,Lead,[lead acetate results in increased abundance of Lead] promotes the reaction [APP protein binds to APP protein],affects^binding|increases^abundance|increases^reaction
APP,rs2154481-C,Alzheimer's disease,1e-12,0.95,Mercuric Chloride,Melatonin inhibits the reaction [Mercuric Chloride results in increased secretion of APP protein modified form],decreases^reaction|increases^secretion
APP,rs2154481-C,Alzheimer's disease,1e-12,0.95,Mercury,Estradiol inhibits the reaction [Mercury results in increased secretion of APP protein modified form],decreases^reaction|increases^secretion
APP,rs2154481-C,Alzheimer's disease,1e-12,0.95,lead acetate,[lead acetate co-treated with tolfenamic acid] results in decreased expression of APP mRNA,affects^cotreatment|decreases^expression
AREG,rs544215943-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,1.6842157,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of AREG mRNA",affects^cotreatment|increases^expression
AREG,rs544215943-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",7e-6,1.6842157,methylmercuric chloride,methylmercuric chloride results in increased expression of AREG mRNA,increases^expression
ARFGEF3,rs58375505-?,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),8e-6,0.5255,Mercuric Chloride,Mercuric Chloride results in decreased expression of ARFGEF3 mRNA,decreases^expression
ARFGEF3,rs58375505-?,Rapidly progressive Alzheimer's disease (typical) (case-control set 1),8e-6,0.5255,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of ARFGEF3 mRNA",affects^cotreatment|decreases^expression
ARHGAP26,rs145833683-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",7e-6,1.6233631,methylmercuric chloride,methylmercuric chloride results in increased expression of ARHGAP26 mRNA,increases^expression
ARHGAP45,rs112131072-A,Alzheimer's disease,2e-9,0.93,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of ARHGAP45 mRNA",affects^cotreatment|decreases^expression
ARHGAP45,rs112131072-A,Alzheimer's disease,2e-9,0.93,lead acetate,lead acetate results in increased expression of ARHGAP45 mRNA,increases^expression
ARHGEF28,rs74819680-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",4e-6,1.3196942,Mercury,Mercury results in decreased expression of ARHGEF28 mRNA,decreases^expression
ARIH1,rs8038734-?,Posterior cortical atrophy and Alzheimer's disease,6e-6,2.1375377,methylmercuric chloride,methylmercuric chloride results in increased expression of ARIH1 mRNA,increases^expression
ARL6IP6,rs143517014-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,0.5506257,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of ARL6IP6 mRNA",affects^cotreatment|decreases^expression
ATM,rs56009889-?,Alzheimer's disease (late onset),6e-7,3.0578122,lead acetate,ATM protein affects the reaction [lead acetate results in decreased expression of COX4 protein],affects^reaction|decreases^expression
ATP11B,rs16833596-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",7e-6,0.8458612,Mercuric Chloride,Mercuric Chloride results in decreased expression of ATP11B mRNA,decreases^expression
ATP11B,rs16833596-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",7e-6,0.8458612,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ATP11B mRNA",affects^cotreatment|increases^expression
ATP5F1C,rs139967528-G,Alzheimer's disease (late onset),6e-10,6.119662,Lead,Lead affects the splicing of ATP5F1C mRNA,affects^splicing
ATP7B,rs7988558-?,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),9e-19,1.27,Lead,Lead affects the expression of ATP7B mRNA,affects^expression
ATP7B,rs7988558-?,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),9e-19,1.27,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of ATP7B mRNA",affects^cotreatment|increases^expression
ATP7B,rs7988558-?,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),9e-19,1.27,methylmercuric chloride,methylmercuric chloride results in decreased expression of ATP7B mRNA,decreases^expression
AUTS2,rs17684339-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-7,0.80011487,Lead,Lead affects the splicing of AUTS2 mRNA,affects^splicing
AUTS2,rs17684339-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-7,0.80011487,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of AUTS2 mRNA",affects^cotreatment|decreases^expression
AUTS2,rs17684339-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",1e-7,0.80011487,methylmercuric chloride,methylmercuric chloride results in increased expression of AUTS2 mRNA,increases^expression
BANK1,rs149970512-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",2e-6,1.5104384,Mercury,Mercury results in increased expression of BANK1 mRNA,increases^expression
BANK1,rs149970512-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",2e-6,1.5104384,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of BANK1 mRNA",affects^cotreatment|increases^expression
BCAM,rs28399637-A,Alzheimer's disease,3.9999999999999997e-25,1.535,Lead,Lead affects the expression of BCAM mRNA,affects^expression
BCL3,rs74607435-?,Alzheimer’s disease polygenic risk score (upper quantile vs lower quantile),2e-19,0.74,Lead,Lead affects the expression of BCL3 mRNA,affects^expression
BICC1,rs556906573-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",5e-6,0.6015173,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of BICC1 mRNA",affects^cotreatment|increases^expression
BLOC1S4,rs10222981-T,Alzheimer's disease with language domain impairment,1e-6,2.06,methylmercuric chloride,methylmercuric chloride results in decreased expression of BLOC1S4 mRNA,decreases^expression
BMAL1,rs143902215-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias in APOE e4 non-carriers",3e-6,1.8430098,Lead,Lead affects the expression of BMAL1 mRNA,affects^expression
BMP1,rs4348488-C,Alzheimer's disease with multiple cognitive domain impairments,3e-6,1.97,lead acetate,lead acetate results in decreased expression of BMP1 mRNA,decreases^expression
BMP6,rs11751537-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-6,1.2299826,mercuric bromide,mercuric bromide results in increased expression of BMP6 mRNA,increases^expression
C1GALT1,rs117803234-?,Alzheimer's disease,7e-8,3.765,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of C1GALT1 mRNA",affects^cotreatment|increases^expression
C1GALT1,rs117803234-?,Alzheimer's disease,7e-8,3.765,methylmercuric chloride,methylmercuric chloride results in increased expression of C1GALT1 mRNA,increases^expression
CACNA1A,rs189753894-?,Late-onset Alzheimer’s disease in APOEe4 non-carriers,2e-8,1.787,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of CACNA1A mRNA",affects^cotreatment|decreases^expression
CACNA1E,rs2804714-?,Rapidly progressive Alzheimer's disease (typical) (case-control set 2),6e-6,1.439,Lead,Lead affects the expression of CACNA1E mRNA,affects^expression
CADM2,rs71316816-C,Alzheimer's disease in APOE e4+ carriers,9e-6,1.25,Lead,Lead affects the expression of CADM2 mRNA,affects^expression
CADM2,rs71316816-C,Alzheimer's disease in APOE e4+ carriers,9e-6,1.25,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CADM2 mRNA",affects^cotreatment|increases^expression
CADM2,rs71316816-C,Alzheimer's disease in APOE e4+ carriers,9e-6,1.25,mercuric bromide,mercuric bromide results in increased expression of CADM2 mRNA,increases^expression
CADM2,rs71316816-C,Alzheimer's disease in APOE e4+ carriers,9e-6,1.25,methylmercuric chloride,methylmercuric chloride results in decreased expression of CADM2 mRNA,decreases^expression
CADPS,rs1452075-?,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),6e-6,2.031,Lead,Lead affects the splicing of CADPS mRNA,affects^splicing
CADPS,rs1452075-?,Rapidly progressive Alzheimer's disease (clinical vs typical) (case-control set 3),6e-6,2.031,methylmercuric chloride,methylmercuric chloride results in decreased expression of CADPS mRNA,decreases^expression
CADPS2,rs146484756-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",8e-6,0.61841226,methylmercuric chloride,methylmercuric chloride results in decreased expression of CADPS2 mRNA,decreases^expression
CAMSAP1,rs149524209-?,Alzheimer's disease (age of onset) in APOE e4 non-carriers,1e-6,4.44,Lead,Lead results in decreased expression of CAMSAP1 mRNA,decreases^expression
CAMSAP1,rs149524209-?,Alzheimer's disease (age of onset) in APOE e4 non-carriers,1e-6,4.44,methylmercuric chloride,methylmercuric chloride results in decreased expression of CAMSAP1 mRNA,decreases^expression
CARS1,rs116088813-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-6,0.69246334,Lead,Lead affects the methylation of CARS1 gene,affects^methylation
CARS1,rs116088813-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-6,0.69246334,mercuric bromide,mercuric bromide results in increased expression of CARS1 mRNA,increases^expression
CARS1,rs116088813-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias",6e-6,0.69246334,methylmercuric chloride,methylmercuric chloride results in increased expression of CARS1 mRNA,increases^expression
CBX2,rs142486042-T,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",1e-5,1.5265343,Lead,Lead affects the expression of CBX2 mRNA,affects^expression
CBX4,rs115471594-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",4e-6,0.66904765,lead acetate,lead acetate results in increased expression of CBX4 mRNA,increases^expression
CBX4,rs115471594-A,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset <75)",4e-6,0.66904765,methylmercuric chloride,methylmercuric chloride results in increased expression of CBX4 mRNA,increases^expression
CCDC171,rs4961664-?,Alzheimer's disease,4e-6,1.2335871,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in decreased expression of CCDC171 mRNA",affects^cotreatment|decreases^expression
CCDC171,rs4961664-?,Alzheimer's disease,4e-6,1.2335871,methylmercuric chloride,methylmercuric chloride results in decreased expression of CCDC171 mRNA,decreases^expression
CCDC91,rs148377161-T,Alzheimer's disease,2e-8,3.312,methylmercuric chloride,methylmercuric chloride results in decreased expression of CCDC91 mRNA,decreases^expression
CCT3,rs55829084-?,Rapidly progressive Alzheimer's disease (pathologically-confirmed) (case-control set 1),8e-6,2.377,Lead,Lead affects the expression of CCT3 mRNA,affects^expression
CD2AP,rs7767350-T,Alzheimer's disease,8e-22,1.08,methylmercuric chloride,methylmercuric chloride results in decreased expression of CD2AP mRNA,decreases^expression
CDH12,rs200347682-G,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",6e-7,1.3973813,Lead,Lead affects the methylation of CDH12 gene,affects^methylation
CDH13,rs111723950-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",9e-7,0.70539314,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CDH13 mRNA",affects^cotreatment|increases^expression
CDH13,rs111723950-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",9e-7,0.70539314,mercuric bromide,mercuric bromide results in increased expression of CDH13 mRNA,increases^expression
CDH13,rs111723950-C,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",9e-7,0.70539314,methylmercuric chloride,methylmercuric chloride results in increased expression of CDH13 mRNA,increases^expression
CDH18,rs1281128605-G,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,0.5595625,Lead,Lead affects the expression of CDH18 mRNA,affects^expression
CDH18,rs1281128605-G,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,0.5595625,Phenylmercuric Acetate,"[NOG protein co-treated with Phenylmercuric Acetate co-treated with dorsomorphin co-treated with 4-(5-benzo(1,3)dioxol-5-yl-4-pyridin-2-yl-1H-imidazol-2-yl)benzamide] results in increased expression of CDH18 mRNA",affects^cotreatment|increases^expression
CDH18,rs1281128605-G,"Alzheimer's disease, proxy Alzheimer's disease or related dementias (age of onset >=75)",5e-6,0.5595625,methylmercuric chloride,methylmercuric chloride results in increased expression of CDH18 mRNA,increases^expression
