riskAllele,pValue,pValueAnnotation,riskFrequency,orValue,beta,ci,mappedGenes,traitName,efoTraits,bgTraits,accessionId,locations
rs393152-A,2e-16,-,0.82,1.3,-,[NR],"LINC02210-CRHR1,LINC02210",Parkinson's disease,Parkinson disease,-,GCST000528,17:45641777
rs823128-A,7e-8,-,0.97,1.52,-,[NR],NUCKS1,Parkinson's disease,Parkinson disease,-,GCST000528,1:205744250
rs17115100-G,7e-8,-,0.91,1.25,-,[NR],"CYP17A1,WBP1L",Parkinson's disease,Parkinson disease,-,GCST000528,10:102831636
rs6532197-G,1e-7,-,0.09,1.32,-,[NR],"MMRN1,SNCA-AS1",Parkinson's disease,Parkinson disease,-,GCST000528,4:89876150
rs12431733-T,3e-6,-,0.48,1.13,-,[NR],"LINC02331,DDHD1-DT",Parkinson's disease,Parkinson disease,-,GCST000528,14:53824112
rs356220-T,3e-11,-,0.36,1.38,-,[1.25-1.52],SNCA,Parkinson's disease,Parkinson disease,-,GCST000772,4:89720189
rs11248051-T,3e-9,-,0.09,1.46,-,[1.29-1.65],GAK,Parkinson's disease,Parkinson disease,-,GCST000772,4:864544
rs199533-C,1e-6,-,0.78,1.35,-,[1.19-1.52],NSF,Parkinson's disease,Parkinson disease,-,GCST000772,17:46751565
rs3129882-G,2e-10,-,0.40,1.26,-,[1.17-1.35],HLA-DRA,Parkinson's disease,Parkinson disease,-,GCST000772,6:32441753
rs1480597-?,2e-6,NA,NR,2.5,-,[1.67-3.33],"RPL9P21,TMEM72-AS1",Parkinson's disease,Parkinson disease,-,GCST000005,10:44665661
rs2242330-?,2e-6,NA,NR,2.0,-,[1.43-2.50],STAP1,Parkinson's disease,Parkinson disease,-,GCST000005,4:67581531
rs10501570-?,7e-6,-,NR,5.0,-,[2.00-12.50],DLG2,Parkinson's disease,Parkinson disease,-,GCST000005,11:84706803
rs7702187-?,8e-6,NA,NR,1.74,-,[1.36-2.24],SEMA5A,Parkinson's disease,Parkinson disease,-,GCST000002,5:9332169
rs11931074-?,7e-17,-,NR,1.37,-,[1.27-1.48],SNCA,Parkinson's disease,Parkinson disease,-,GCST000530,4:89718364
rs4538475-?,3e-9,-,NR,1.24,-,[1.16-1.34],BST1,Parkinson's disease,Parkinson disease,-,GCST000530,4:15736314
rs1994090-?,3e-8,-,NR,1.39,-,[1.24-1.56],SLC2A13,Parkinson's disease,Parkinson disease,-,GCST000530,12:40034759
rs947211-?,2e-12,-,NR,1.3,-,[1.21-1.39],"SLC41A1,RAB29",Parkinson's disease,Parkinson disease,-,GCST000530,1:205783537
rs1564282-T,7e-7,-,0.09,1.7,-,[NR],GAK,Parkinson's disease (familial),Parkinson disease,-,GCST000261,4:858525
rs11012-T,6e-8,-,NR,1.43,-,[1.27-1.61],PLEKHM1,Parkinson's disease,Parkinson disease,-,GCST000567,17:45436075
rs12063142-?,5e-7,-,NR,-,-,-,"PAX7,TAS1R2",Parkinson's disease,Parkinson disease,-,GCST000567,1:18813023
rs4837628-A,1e-6,-,NR,1.27,-,[1.15-1.39],BRINP1,Parkinson's disease,Parkinson disease,-,GCST000567,9:119297431
rs11248060-?,2e-6,-,NR,-,-,-,DGKQ,Parkinson's disease,Parkinson disease,-,GCST000567,4:970571
rs10464059-A,3e-6,-,NR,1.33,-,[1.19-1.52],"RNU6-525P,GFPT2",Parkinson's disease,Parkinson disease,-,GCST000567,5:180367208
rs2736990-?,7e-8,-,NR,1.29,-,[1.18-1.43],SNCA,Parkinson's disease,Parkinson disease,-,GCST000567,4:89757390
rs8070723-?,7e-12,-,0.76,1.3,-,[1.19-1.43],MAPT,Parkinson's disease,Parkinson disease,-,GCST000855,17:46003698
rs7617877-A,3e-6,-,0.36,1.23,-,[1.13-1.33],RBMS3,Parkinson's disease,Parkinson disease,-,GCST000855,3:28664273
rs356220-A,9e-16,-,0.36,1.27,-,[1.17-1.37],SNCA,Parkinson's disease,Parkinson disease,-,GCST000855,4:89720189
rs183211-T,3e-7,-,0.24,-,-,-,NSF,Parkinson's disease,Parkinson disease,-,GCST001189,17:46710944
rs10121009-A,3e-6,-,0.21,-,-,-,UNC13B,Parkinson's disease,Parkinson disease,-,GCST001189,9:35269822
rs415430-T,7e-7,-,0.786,-,-,-,WNT3,Parkinson's disease,Parkinson disease,-,GCST001189,17:46781778
rs7118648-G,2e-7,-,0.03,-,-,-,CCDC82,Parkinson's disease,Parkinson disease,-,GCST002077,11:96375264
rs3935740-T,2e-7,-,0.08,-,-,-,"TMC3-AS1,TMC3",Parkinson's disease,Parkinson disease,-,GCST002077,15:81334384
rs17497526-G,6e-7,-,0.15,-,-,-,COL13A1,Parkinson's disease,Parkinson disease,-,GCST002077,10:69820364
rs10958605-?,2e-6,(motor outcome),NR,1.81,-,[1.42-2.31],"SIRLNT,LINC02866",Parkinson's disease (motor and cognition),Parkinson disease,-,GCST001546,8:40196086
rs959573-?,5e-6,(cognitive outcome),NR,1.92,-,[1.49-2.50],"LMNB1,MARCHF3",Parkinson's disease (motor and cognition),Parkinson disease,-,GCST001546,5:126846170
rs6482992-?,4e-6,(congnitive outcome),NR,2.03,-,[1.47-2.79],CLRN3,Parkinson's disease (motor and cognition),Parkinson disease,-,GCST001546,10:127880410
rs17000647-?,5e-6,(cognitive outcome),NR,5.58,-,[3.00-10.38],ODAPH,Parkinson's disease (motor and cognition),Parkinson disease,-,GCST001546,4:75556520
rs3027247-?,9e-6,(cognitive outcome),NR,1.89,-,[1.41-2.50],CTC1,Parkinson's disease (motor and cognition),Parkinson disease,-,GCST001546,17:8227549
rs34778348-?,3e-21,(Asian),0.04,2.23,-,[1.89-2.63],LRRK2,Parkinson's disease,Parkinson disease,-,GCST001445,12:40363526
rs1491942-?,6e-15,(EA),0.21,1.17,-,[1.13-1.22],LRRK2,Parkinson's disease,Parkinson disease,-,GCST001445,12:40227006
rs11248060-?,3e-12,(EA),0.12,1.21,-,[1.15-1.27],DGKQ,Parkinson's disease,Parkinson disease,-,GCST001445,4:970571
H1H2-?,8e-52,(EA),0.80,1.28,-,[1.25-1.33],-,Parkinson's disease,Parkinson disease,-,GCST001445,-
rs356219-?,6e-65,(EA),0.41,1.29,-,[1.25-1.33],SNCA,Parkinson's disease,Parkinson disease,-,GCST001445,4:89716450
rs6532194-?,5e-11,(Asian),0.40,1.29,-,[1.20-1.39],"MMRN1,SNCA-AS1",Parkinson's disease,Parkinson disease,-,GCST001445,4:89859751
rs2338971-C,4e-10,(Sporadic),0.773,1.35,-,[1.27-1.43],"LINC01307,LINC01709",Parkinson's disease,Parkinson disease,-,GCST002353,1:101414449
rs356220-T,1e-9,(Sporadic),0.364,1.37,-,[1.23-1.51],SNCA,Parkinson's disease,Parkinson disease,-,GCST002353,4:89720189
rs356220-T,3e-11,-,0.364,1.38,-,[1.24-1.52],SNCA,Parkinson's disease,Parkinson disease,-,GCST002353,4:89720189
rs3129882-G,3e-8,-,0.395,1.31,-,[1.19-1.43],HLA-DRA,Parkinson's disease,Parkinson disease,-,GCST002353,6:32441753
rs3129882-G,5e-10,(Sporadic),0.395,1.38,-,[1.24-1.52],HLA-DRA,Parkinson's disease,Parkinson disease,-,GCST002353,6:32441753
rs199498-T,2e-6,-,0.764,1.35,-,[1.25-1.45],WNT3,Parkinson's disease,Parkinson disease,-,GCST002353,17:46788237
rs199498-T,8e-7,(Familial),0.764,1.69,-,[1.57-1.81],WNT3,Parkinson's disease,Parkinson disease,-,GCST002353,17:46788237
rs2338971-C,5e-10,-,0.773,1.32,-,[1.26-1.38],"LINC01307,LINC01709",Parkinson's disease,Parkinson disease,-,GCST002353,1:101414449
rs11158026-C,6e-11,-,0.665,1.11,-,[1.08-1.14],GCH1,Parkinson's disease,Parkinson disease,-,GCST002544,14:54882151
rs1555399-T,7e-14,-,0.532,1.1148,-,[1.09-1.14],TMEM229B,Parkinson's disease,Parkinson disease,-,GCST002544,14:67517653
rs2414739-A,1e-11,-,0.734,1.113,-,[1.08-1.14],"LINC02349,RORA",Parkinson's disease,Parkinson disease,-,GCST002544,15:61701935
rs14235-A,2e-12,-,0.381,1.103,-,[1.08-1.13],BCKDK,Parkinson's disease,Parkinson disease,-,GCST002544,16:31110472
rs17649553-C,2e-48,-,0.774,1.3,-,[1.27-1.34],MAPT,Parkinson's disease,Parkinson disease,-,GCST002544,17:45917282
rs12456492-G,8e-12,-,0.307,1.11,-,[1.08-1.14],RIT2,Parkinson's disease,Parkinson disease,-,GCST002544,18:43093415
rs62120679-T,6e-7,-,0.314,1.097,-,[1.06-1.13],TMPRSS9,Parkinson's disease,Parkinson disease,-,GCST002544,19:2363321
rs8118008-A,3e-11,-,0.657,1.111,-,[1.08-1.14],"DDRGK1,LZTS3",Parkinson's disease,Parkinson disease,-,GCST002544,20:3187520
rs591323-G,7e-8,-,0.725,1.09,-,[1.06-1.12],"RN7SL474P,MSR1",Parkinson's disease,Parkinson disease,-,GCST002544,8:16839582
rs35749011-A,1.0000000000000001e-29,-,0.017,1.824,-,[1.72-1.93],"KRTCAP2,HMGN2P18",Parkinson's disease,Parkinson disease,-,GCST002544,1:155162560
rs823118-T,2e-16,-,0.559,1.122,-,[1.09-1.15],"NUCKS1,RAB29",Parkinson's disease,Parkinson disease,-,GCST002544,1:205754444
rs10797576-T,5e-10,-,0.14,1.131,-,[1.09-1.17],SIPA1L2,Parkinson's disease,Parkinson disease,-,GCST002544,1:232528865
rs6430538-C,9e-20,-,0.57,1.1429,-,[1.11-1.17],CCNT2-AS1,Parkinson's disease,Parkinson disease,-,GCST002544,2:134782397
rs1474055-T,1e-20,-,0.128,1.214,-,[1.17-1.26],"STK39,RN7SL813P",Parkinson's disease,Parkinson disease,-,GCST002544,2:168253884
rs12637471-G,2e-21,-,0.807,1.1876,-,[1.15-1.22],MCCC1,Parkinson's disease,Parkinson disease,-,GCST002544,3:183044649
rs34311866-C,1e-43,-,0.191,1.27,-,[1.24-1.30],TMEM175,Parkinson's disease,Parkinson disease,-,GCST002544,4:958159
rs11724635-A,9e-18,-,0.553,1.126,-,[1.1-1.15],BST1,Parkinson's disease,Parkinson disease,-,GCST002544,4:15735478
rs6812193-C,3e-11,-,0.636,1.1,-,[1.07-1.13],"FAM47E,FAM47E-STBD1",Parkinson's disease,Parkinson disease,-,GCST002544,4:76277833
rs356182-G,4e-73,-,0.367,1.32,-,[1.29-1.35],SNCA,Parkinson's disease,Parkinson disease,-,GCST002544,4:89704960
rs9275326-C,1e-12,-,0.906,1.21,-,[1.16-1.26],"HLA-DQB1,MTCO3P1",Parkinson's disease,Parkinson disease,-,GCST002544,6:32698883
rs199347-A,1e-12,-,0.59,1.11,-,[1.08-1.14],GPNMB,Parkinson's disease,Parkinson disease,-,GCST002544,7:23254127
rs117896735-A,4e-13,-,0.014,1.624,-,[1.49-1.76],INPP5F,Parkinson's disease,Parkinson disease,-,GCST002544,10:119776815
rs3793947-G,4e-7,-,0.557,1.0764,-,[1.05-1.11],DLG2,Parkinson's disease,Parkinson disease,-,GCST002544,11:83833429
rs329648-T,1e-11,-,0.354,1.105,-,[1.08-1.13],"IGSF9B,SPATA19",Parkinson's disease,Parkinson disease,-,GCST002544,11:133895472
rs76904798-T,5e-14,-,0.143,1.155,-,[1.12-1.19],"LRRK2-DT,LRRK2",Parkinson's disease,Parkinson disease,-,GCST002544,12:40220632
rs11060180-A,6e-12,-,0.558,1.105,-,[1.08-1.13],CCDC62,Parkinson's disease,Parkinson disease,-,GCST002544,12:122819039
rs1442190-?,2e-27,-,0.0264,3.72,-,[2.98-4.64],CNTN1,Parkinson's disease,Parkinson disease,-,GCST002455,12:40971838
rs17577094-?,8e-9,-,0.74,1.56,-,[1.39-1.79],KANSL1,Parkinson's disease,Parkinson disease,-,GCST002455,17:46110126
rs1630500-?,2e-8,-,0.045,1.75,-,[1.43-2.15],"KCNN3,PMVK",Parkinson's disease,Parkinson disease,-,GCST002455,1:154882579
rs823114-?,3e-6,-,0.59,1.33,-,[1.20-1.47],"NUCKS1,RAB29",Parkinson's disease,Parkinson disease,-,GCST002455,1:205750404
kgp8090149-?,1e-6,-,NR,4.95,-,[3.50-7.00],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
rs849898-?,1e-6,-,NR,2.73,-,[1.96-3.79],"CICP26,WNT9A",Parkinson's disease,Parkinson disease,-,GCST003059,1:227966216
kgp7172368-?,1e-6,-,NR,2.63,-,[1.91-3.63],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
kgp11353523-?,1e-6,-,NR,2.7777777,-,[2.00-3.85],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
rs11186-?,1e-6,-,NR,2.79,-,[1.94-4.03],COL5A2,Parkinson's disease,Parkinson disease,-,GCST003059,2:189032668
kgp760898-?,1e-6,-,NR,3.97,-,[2.82-5.60],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
rs6783485-?,1e-6,-,NR,5.0,-,[2.86-8.33],CFAP20DC-DT,Parkinson's disease,Parkinson disease,-,GCST003059,3:59442071
rs1879553-?,1e-6,-,NR,2.83,-,[1.98-4.04],"IGSF11,LSAMP",Parkinson's disease,Parkinson disease,-,GCST003059,3:118896616
kgp9482779-?,1e-6,-,NR,5.5555553,-,[4.00-8.33],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
rs13153459-?,1e-6,-,NR,2.45,-,[1.79-3.34],MRPS30-DT,Parkinson's disease,Parkinson disease,-,GCST003059,5:44515833
kgp154172-?,1e-6,-,NR,8.2,-,[5.70-11.78],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
kgp8130520-?,1e-6,-,NR,3.72,-,[2.75-5.04],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
kgp4105983-?,1e-6,-,NR,3.448276,-,[2.33-5.00],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
rs10746953-?,1e-6,-,NR,2.62,-,[1.91-3.60],RORB-AS1,Parkinson's disease,Parkinson disease,-,GCST003059,9:74302924
kgp10769919-?,1e-6,-,NR,3.448276,-,[2.27-5.26],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
kgp6542803-?,1e-6,-,NR,2.29,-,[1.72-3.06],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
kgp9550589-?,1e-6,-,NR,2.37,-,[1.78-3.14],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
rs9323124-?,1e-6,-,NR,3.97,-,[2.91-5.42],"MDGA2,RPA2P1",Parkinson's disease,Parkinson disease,-,GCST003059,14:46996974
kgp11333367-?,1e-6,-,NR,4.3,-,[3.16-5.85],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
kgp348599-?,1e-6,-,NR,2.85,-,[2.13-3.82],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
rs1362858-?,1e-6,-,NR,2.68,-,[1.92-3.73],"ZNF24TR,RPL7AP67",Parkinson's disease,Parkinson disease,-,GCST003059,18:35406636
kgp4156164-?,1e-6,-,NR,6.59,-,[4.25-10.20],-,Parkinson's disease,Parkinson disease,-,GCST003059,-
rs356182-?,4e-11,-,NR,-,-,-,SNCA,Parkinson's disease,Parkinson disease,-,GCST90320240,4:89704960
rs59330234-?,1e-8,-,NR,-,-,-,CCDC85A,Parkinson's disease,Parkinson disease,-,GCST90320240,2:56375408
rs2270968-G,3e-8,-,0.338,1.178,-,NR,MCCC1,Parkinson's disease,Parkinson disease,-,GCST003922,3:183037421
rs8180209-?,9.999999999999999e-33,-,NR,1.41,-,-,SNCA,Parkinson's disease,Parkinson disease,-,GCST003922,4:89723303
rs1384236-C,8e-12,-,0.035,1.551,-,NR,SLC2A13,Parkinson's disease,Parkinson disease,-,GCST003922,12:40064582
rs7479949-?,6e-8,-,NR,1.16,-,-,DLG2,Parkinson's disease,Parkinson disease,-,GCST003922,11:83792361
rs28903073-?,1e-39,-,NR,3.1152647,-,[2.68-3.62],LRRK2,Parkinson's disease,Parkinson disease,-,GCST003984,12:40259708
rs144847051-?,4e-21,-,NR,2.2371366,-,[1.92-2.61],"ASS1P14,SYT10",Parkinson's disease,Parkinson disease,-,GCST003984,12:33148871
rs13016703-?,3e-16,-,NR,1.2091899,-,[1.16-1.26],"STK39,RN7SL813P",Parkinson's disease,Parkinson disease,-,GCST003984,2:168299085
rs35541465-?,3e-15,-,NR,1.1560693,-,[1.12-1.20],GAK,Parkinson's disease,Parkinson disease,-,GCST003984,4:879499
rs11158026-?,9e-15,-,NR,1.1454753,-,[1.11-1.18],GCH1,Parkinson's disease,Parkinson disease,-,GCST003984,14:54882151
rs9858038-?,3e-14,-,NR,1.172,-,[1.124-1.221],"DCUN1D1,MCCC1",Parkinson's disease,Parkinson disease,-,GCST003984,3:183012503
rs10256359-?,2e-12,-,NR,1.1273957,-,[1.09-1.17],"HYCC1,KLHL7-DT",Parkinson's disease,Parkinson disease,-,GCST003984,7:23084258
rs188789342-?,3e-11,-,NR,1.488,-,[1.331-1.663],"TIAL1,RAD1P1",Parkinson's disease,Parkinson disease,-,GCST003984,10:119612816
rs6812193-?,7e-11,-,NR,1.1148272,-,[1.08-1.15],"FAM47E,FAM47E-STBD1",Parkinson's disease,Parkinson disease,-,GCST003984,4:76277833
rs4266290-?,8e-11,-,NR,1.128,-,[1.088-1.171],BST1,Parkinson's disease,Parkinson disease,-,GCST003984,4:15735495
rs4130047-?,2e-10,-,NR,1.1148272,-,[1.08-1.15],RIT2,Parkinson's disease,Parkinson disease,-,GCST003984,18:43098270
rs11060180-?,3e-10,-,NR,1.1074197,-,[1.07-1.14],CCDC62,Parkinson's disease,Parkinson disease,-,GCST003984,12:122819039
rs148294058-?,5e-9,-,NR,1.5698587,-,[1.36-1.81],LINC02450,Parkinson's disease,Parkinson disease,-,GCST003984,12:42655580
rs2209440-?,8e-9,-,NR,1.0964912,-,[1.06-1.13],SH3GL2,Parkinson's disease,Parkinson disease,-,GCST003984,9:17736344
rs11343-?,1e-8,-,NR,1.096,-,[1.062-1.131],SYT17,Parkinson's disease,Parkinson disease,-,GCST003984,16:19268142
rs162227-?,1e-8,-,NR,1.1627907,-,[1.10-1.22],NDUFAF2,Parkinson's disease,Parkinson disease,-,GCST003984,5:60964716
rs144074972-?,6e-8,-,NR,-,-,-,CA8,Parkinson's disease,Parkinson disease,-,GCST003984,8:60251336
rs601999-?,7e-8,-,NR,1.095,-,[1.060-1.132],"NAGLU,HSD17B1P1",Parkinson's disease,Parkinson disease,-,GCST003984,17:42546140
rs356182-?,9.999999999999999e-57,-,NR,1.318,-,[1.274-1.363],SNCA,Parkinson's disease,Parkinson disease,-,GCST003984,4:89704960
rs365825-?,3.9999999999999997e-32,-,NR,1.2722646,-,[1.22-1.33],"LINC02210,LINC02210-CRHR1",Parkinson's disease,Parkinson disease,-,GCST003984,17:45628235
rs17425622-?,4e-17,-,NR,1.235,-,[1.174-1.298],"HLA-DQA1,HLA-DRB1",Parkinson's disease,Parkinson disease,-,GCST003984,6:32604184
rs2230288-?,5e-17,-,NR,1.674,-,[1.495-1.873],GBA1,Parkinson's disease,Parkinson disease,-,GCST003984,1:155236376
