DATE ADDED TO CATALOG	PUBMEDID	FIRST AUTHOR	DATE	JOURNAL	LINK	STUDY	DISEASE/TRAIT	INITIAL SAMPLE SIZE	REPLICATION SAMPLE SIZE	REGION	CHR_ID	CHR_POS	REPORTED GENE(S)	MAPPED_GENE	UPSTREAM_GENE_ID	DOWNSTREAM_GENE_ID	SNP_GENE_IDS	UPSTREAM_GENE_DISTANCE	DOWNSTREAM_GENE_DISTANCE	STRONGEST SNP-RISK ALLELE	SNPS	MERGED	SNP_ID_CURRENT	CONTEXT	INTERGENIC	RISK ALLELE FREQUENCY	P-VALUE	PVALUE_MLOG	P-VALUE (TEXT)	OR or BETA	95% CI (TEXT)	PLATFORM [SNPS PASSING QC]	CNV	MAPPED_TRAIT	MAPPED_TRAIT_URI	STUDY ACCESSION	GENOTYPING TECHNOLOGY
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				PBX1							chr1:164546863-?	chr1:164546863	0			1	NR	1E-10	10.0		1.257	[1.175-1.346]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
2017-06-02	28256260	Siitonen A	2017-02-02	Neurobiol Aging	www.ncbi.nlm.nih.gov/pubmed/28256260	Genetics of early-onset Parkinson's disease in Finland: exome sequencing and genome-wide association study.	Early-onset Parkinson's disease	403 Finnish ancestry cases, 1,650 Finnish ancestry controls	NA				CEL							chr9:135955826-?	chr9:135955826	0			1	NR	1E-14	14.0		2.158	[1.777-2.619]	NR [12954715] (imputed)	N	Young adult-onset Parkinsonism	http://www.orpha.net/ORDO/Orphanet_2828	GCST004138	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	12q12	12	40259708	LRRK2	LRRK2			ENSG00000188906			rs28903073-?	rs28903073	0	28903073	intron_variant	0	NR	1E-39	39.0		3.1152647	[2.68-3.62]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	1q22	1	155236376	GBA	GBA1			ENSG00000177628			rs2230288-?	rs2230288	0	2230288	missense_variant	0	NR	5E-17	16.30102999566398		1.674	[1.495-1.873]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	4p16.3	4	879499	GAK	GAK			ENSG00000178950			rs35541465-?	rs35541465	0	35541465	intron_variant	0	NR	3E-15	14.522878745280337		1.1560693	[1.12-1.20]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	14q22.2	14	54882151	GCH1	GCH1			ENSG00000131979			rs11158026-?	rs11158026	0	11158026	intron_variant	0	NR	9E-15	14.045757490560675		1.1454753	[1.11-1.18]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	7p15.3	7	23084258	FAM126A, KLHL7	HYCC1 - KLHL7-DT	ENSG00000122591	ENSG00000230658		70128	15956	rs10256359-?	rs10256359	0	10256359	intergenic_variant	1	NR	2E-12	11.698970004336019		1.1273957	[1.09-1.17]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	10q26.11	10	119612816	TIAL1, BAG3	TIAL1 - RAD1P1	ENSG00000151923	ENSG00000234569		15787	8252	rs188789342-?	rs188789342	0	188789342	intergenic_variant	1	NR	3E-11	10.522878745280337		1.488	[1.331-1.663]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	4q21.1	4	76277833	FAM47E	FAM47E-STBD1, FAM47E			ENSG00000272414, ENSG00000189157			rs6812193-?	rs6812193	0	6812193	intron_variant	0	NR	7E-11	10.154901959985743		1.1148272	[1.08-1.15]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	18q12.3	18	43098270	RIT2	RIT2			ENSG00000152214			rs4130047-?	rs4130047	0	4130047	intron_variant	0	NR	2E-10	9.698970004336019		1.1148272	[1.08-1.15]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	9p22.2	9	17736344	SH3GL2	SH3GL2			ENSG00000107295			rs2209440-?	rs2209440	0	2209440	intron_variant	0	NR	8E-9	8.096910013008056		1.0964912	[1.06-1.13]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	16p12.3	16	19268142	SYT17, CLEC19A	SYT17			ENSG00000103528			rs11343-?	rs11343	0	11343	3_prime_UTR_variant	0	NR	1E-8	8.0		1.096	[1.062-1.131]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	5q12.1	5	60964716	NDUFAF2	NDUFAF2			ENSG00000164182			rs162227-?	rs162227	0	162227	intron_variant	0	NR	1E-8	8.0		1.1627907	[1.10-1.22]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	8q12.1	8	60251336	CA8	CA8			ENSG00000178538			rs144074972-?	rs144074972	0	144074972	intron_variant	0	NR	6E-8	7.221848749616356				Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	17q21.2	17	42546140	HSD17B1, GLU	NAGLU - HSD17B1P1	ENSG00000108784	ENSG00000108785		1691	624	rs601999-?	rs601999	0	601999	non_coding_transcript_exon_variant	1	NR	7E-8	7.154901959985743		1.095	[1.060-1.132]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	4q22.1	4	89704960	GPRIN3, SNCA	SNCA			ENSG00000145335			rs356182-?	rs356182	0	356182	intron_variant	0	NR	1E-56	56.0		1.318	[1.274-1.363]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	17q21.31	17	45628235	CRHR1, LRRC37A3	LINC02210, LINC02210, LINC02210-CRHR1			ENSG00000293460, ENSG00000204650, ENSG00000263715			rs365825-?	rs365825	0	365825	intron_variant	0	NR	4E-32	31.397940008672037		1.2722646	[1.22-1.33]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	12p11.21	12	33148871	PKP2, SYT10	ASS1P14 - SYT10	ENSG00000257316	ENSG00000110975		161801	225367	rs144847051-?	rs144847051	0	144847051	intergenic_variant	1	NR	4E-21	20.397940008672037		2.2371366	[1.92-2.61]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	2q24.3	2	168299085	STK39, CERS6	STK39 - RN7SL813P	ENSG00000198648	ENSG00000241074		51490	152239	rs13016703-?	rs13016703	0	13016703	intergenic_variant	1	NR	3E-16	15.522878745280337		1.2091899	[1.16-1.26]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	3q27.1	3	183012503	DCUN1D1, MCCC1	DCUN1D1 - MCCC1	ENSG00000043093	ENSG00000078070		26550	2715	rs9858038-?	rs9858038	0	9858038	non_coding_transcript_exon_variant	1	NR	3E-14	13.522878745280337		1.172	[1.124-1.221]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	1q32.1	1	205754444	RAB7L1, NUCKS1	NUCKS1 - RAB29	ENSG00000069275	ENSG00000117280		4262	13542	rs823118-?	rs823118	0	823118	intergenic_variant	1	NR	6E-12	11.221848749616356		1.117	[1.082-1.153]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	4p15.32	4	15735495	BST1, CD38	BST1			ENSG00000109743			rs4266290-?	rs4266290	0	4266290	intron_variant	0	NR	8E-11	10.096910013008056		1.128	[1.088-1.171]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	6p22.1	6	27709015	ZNF184, HIST1H2BL	LINC01012			ENSG00000281706			rs4713118-?	rs4713118	0	4713118	intron_variant	0	NR	2E-10	9.698970004336019		1.121	[1.083-1.162]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	12q24.31	12	122819039	CCDC62	CCDC62			ENSG00000130783			rs11060180-?	rs11060180	0	11060180	intron_variant	0	NR	3E-10	9.522878745280337		1.1074197	[1.07-1.14]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	11q12.1	11	57926788	CTNND1, OR9Q1	OR5AZ1P - OR5BD1P	ENSG00000180714	ENSG00000254749		8549	18810	rs687432-?	rs687432	0	687432	intergenic_variant	1	NR	2E-9	8.698970004336019		1.113	[1.075-1.153]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2017-05-11	27182965	Pickrell JK	2016-05-16	Nat Genet	www.ncbi.nlm.nih.gov/pubmed/27182965	Detection and interpretation of shared genetic influences on 42 human traits.	Parkinson's disease	9,619 European ancestry cases, 324,522 European ancestry controls	NA	12q12	12	42655580	PRICKLE1, ADAMTS20	LINC02450			ENSG00000257114			rs148294058-?	rs148294058	0	148294058	intron_variant	0	NR	5E-9	8.301029995663981		1.5698587	[1.36-1.81]	Illumina [12438219] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST003984	Genome-wide genotyping array
2024-11-15	39080267	Doostparast Torshizi A	2024-07-31	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/39080267	Proteogenomic network analysis reveals dysregulated mechanisms and potential mediators in Parkinson's disease.	Parkinson's disease	7,099 European ancestry cases, 531,918 European ancestry controls	NA	1q22	1	155236376		GBA1			ENSG00000177628			rs2230288-T	rs2230288	0	2230288	missense_variant	0	NR	1E-18	18.0		0.4	unit increase	NR [11114080] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST90455618	Genome-wide genotyping array
2024-11-15	39080267	Doostparast Torshizi A	2024-07-31	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/39080267	Proteogenomic network analysis reveals dysregulated mechanisms and potential mediators in Parkinson's disease.	Parkinson's disease	7,099 European ancestry cases, 531,918 European ancestry controls	NA	4p16.3	4	958159		TMEM175			ENSG00000127419			rs34311866-C	rs34311866	0	34311866	missense_variant	0	NR	1E-12	12.0		0.17	unit increase	NR [11114080] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST90455618	Genome-wide genotyping array
2024-11-15	39080267	Doostparast Torshizi A	2024-07-31	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/39080267	Proteogenomic network analysis reveals dysregulated mechanisms and potential mediators in Parkinson's disease.	Parkinson's disease	7,099 European ancestry cases, 531,918 European ancestry controls	NA	4q22.1	4	89836158		SNCA			ENSG00000145335			rs1372519-G	rs1372519	0	1372519	intron_variant	0	NR	3E-12	11.522878745280337		0.18	unit increase	NR [11114080] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST90455618	Genome-wide genotyping array
2024-11-15	39080267	Doostparast Torshizi A	2024-07-31	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/39080267	Proteogenomic network analysis reveals dysregulated mechanisms and potential mediators in Parkinson's disease.	Parkinson's disease	7,099 European ancestry cases, 531,918 European ancestry controls	NA	12q12	12	40340400		LRRK2			ENSG00000188906			rs34637584-A	rs34637584	0	34637584	missense_variant	0	NR	7E-12	11.154901959985743		2.27	unit increase	NR [11114080] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST90455618	Genome-wide genotyping array
2024-11-15	39080267	Doostparast Torshizi A	2024-07-31	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/39080267	Proteogenomic network analysis reveals dysregulated mechanisms and potential mediators in Parkinson's disease.	Parkinson's disease	7,099 European ancestry cases, 531,918 European ancestry controls	NA	12q24.31	12	122838013		HIP1R			ENSG00000130787			rs10847839-C	rs10847839	0	10847839	intron_variant	0	NR	5E-8	7.301029995663981		0.14	unit decrease	NR [11114080] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST90455618	Genome-wide genotyping array
2024-11-15	39080267	Doostparast Torshizi A	2024-07-31	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/39080267	Proteogenomic network analysis reveals dysregulated mechanisms and potential mediators in Parkinson's disease.	Parkinson's disease	7,099 European ancestry cases, 531,918 European ancestry controls	NA	14q22.2	14	54882151		GCH1			ENSG00000131979			rs11158026-T	rs11158026	0	11158026	intron_variant	0	NR	3E-8	7.522878745280337		0.1	unit decrease	NR [11114080] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST90455618	Genome-wide genotyping array
2024-11-15	39080267	Doostparast Torshizi A	2024-07-31	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/39080267	Proteogenomic network analysis reveals dysregulated mechanisms and potential mediators in Parkinson's disease.	Parkinson's disease	7,099 European ancestry cases, 531,918 European ancestry controls	NA	17q21.31	17	46115202		KANSL1			ENSG00000120071			rs4630591-T	rs4630591	0	4630591	intron_variant	0	NR	1E-18	18.0		0.25	unit decrease	NR [11114080] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST90455618	Genome-wide genotyping array
2024-11-15	39080267	Doostparast Torshizi A	2024-07-31	Nat Commun	www.ncbi.nlm.nih.gov/pubmed/39080267	Proteogenomic network analysis reveals dysregulated mechanisms and potential mediators in Parkinson's disease.	Parkinson's disease	7,099 European ancestry cases, 531,918 European ancestry controls	NA	19q13.32	19	44888997		NECTIN2			ENSG00000130202			rs6857-T	rs6857	0	6857	3_prime_UTR_variant	0	NR	2E-9	8.698970004336019		0.13	unit increase	NR [11114080] (imputed)	N	Parkinson disease	http://purl.obolibrary.org/obo/MONDO_0005180	GCST90455618	Genome-wide genotyping array
